Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-11-02 05:44:39Z : PB = 328761344 : In   : ------------------------------------ StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-11-02 05:45:19Z : PB = 369528832 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:19Z : PB = 369528832 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:19Z : PB = 369528832 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:19Z : PB = 369528832 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:20Z : PB = 371425280 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:20Z : PB = 371425280 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:20Z : PB = 371425280 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:20Z : PB = 371425280 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:20Z : PB = 371425280 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:20Z : PB = 371425280 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:20Z : PB = 371425280 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:20Z : PB = 371425280 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:20Z : PB = 375455744 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:20Z : PB = 375455744 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:20Z : PB = 375455744 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:20Z : PB = 375455744 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:20Z : PB = 375455744 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:20Z : PB = 375463936 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:20Z : PB = 375463936 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:20Z : PB = 375463936 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:20Z : PB = 378974208 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:20Z : PB = 378974208 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:20Z : PB = 378974208 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:20Z : PB = 378974208 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:20Z : PB = 378974208 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:20Z : PB = 378974208 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:20Z : PB = 378974208 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:20Z : PB = 378974208 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:20Z : PB = 382652416 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:20Z : PB = 382652416 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:20Z : PB = 382652416 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:20Z : PB = 382652416 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:20Z : PB = 382652416 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:20Z : PB = 382287872 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:20Z : PB = 382287872 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:20Z : PB = 382287872 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:21Z : PB = 386072576 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:21Z : PB = 386072576 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:21Z : PB = 386072576 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:21Z : PB = 386072576 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:21Z : PB = 386076672 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:21Z : PB = 386076672 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:21Z : PB = 386076672 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:21Z : PB = 386076672 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:21Z : PB = 389488640 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:21Z : PB = 389488640 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:21Z : PB = 389488640 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:21Z : PB = 389488640 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:21Z : PB = 389488640 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:21Z : PB = 389042176 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:21Z : PB = 389042176 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:21Z : PB = 389042176 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:37Z : PB = 370814976 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:37Z : PB = 370814976 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:37Z : PB = 370814976 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:37Z : PB = 370814976 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:37Z : PB = 370814976 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:37Z : PB = 370814976 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:37Z : PB = 370814976 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:37Z : PB = 370814976 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:38Z : PB = 370417664 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:38Z : PB = 370417664 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:38Z : PB = 370417664 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:38Z : PB = 370417664 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:38Z : PB = 370417664 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:38Z : PB = 370417664 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:38Z : PB = 370417664 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:38Z : PB = 370417664 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:44Z : PB = 370413568 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:44Z : PB = 370413568 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:44Z : PB = 370413568 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:44Z : PB = 370413568 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:44Z : PB = 370413568 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:44Z : PB = 370413568 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:44Z : PB = 370413568 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:44Z : PB = 370413568 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:44Z : PB = 373829632 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:44Z : PB = 373829632 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:44Z : PB = 373829632 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:44Z : PB = 373829632 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2022-11-02 05:45:44Z : PB = 373829632 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2022-11-02 05:45:44Z : PB = 373829632 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2022-11-02 05:45:44Z : PB = 373829632 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2022-11-02 05:45:44Z : PB = 373829632 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2022-11-02 05:45:44Z : PB = 373833728 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookAddFormPresentationModel.cs Line 28
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookAddFormPresentationModel envy BookBorrowingSystem.BookItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		NAME
FeatureEnvyDetector	WARN		REMAIN
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookAddFormPresentationModel.cs Line 29
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookAddFormPresentationModel envy BookBorrowingSystem.BookItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		NAME
FeatureEnvyDetector	WARN		REMAIN
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingForm.cs Line 86
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingForm envy BookBorrowingSystem.BookBorrowingFormPresentationModel
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetButtonName
FeatureEnvyDetector	WARN		GetButtonCount
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingForm.cs Line 88
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingForm envy BookBorrowingSystem.BookBorrowingFormPresentationModel
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetButtonIndex
FeatureEnvyDetector	WARN		GetButtonCount
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingForm.cs Line 91
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingForm envy BookBorrowingSystem.BookBorrowingFormPresentationModel
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetButtonImage
FeatureEnvyDetector	WARN		GetButtonCount
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingForm.cs Line 105
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingForm envy BookBorrowingSystem.BookBorrowingFormPresentationModel
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		SetSelected
FeatureEnvyDetector	WARN		ResetBorrowed
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BackPackForm.cs Line 59
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BackPackForm envy BookBorrowingSystem.BackPackFormPresentationModel
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		RemoveBorrow
FeatureEnvyDetector	WARN		IsReturnLegal
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 36
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BookItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		REMAIN
FeatureEnvyDetector	WARN		NAME
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 42
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 152
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		AddToBorrowedList
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 156
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		AddToBorrowedList
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 172
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 172
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 181
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 181
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 211
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BookItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		REMAIN
FeatureEnvyDetector	WARN		NAME
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 321
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 322
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN		QUANTITY
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 324
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN		QUANTITY
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 325
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN		QUANTITY
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BookBorrowingFormPresentationModel.cs Line 328
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BookBorrowingFormPresentationModel envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN		QUANTITY
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\Library.cs Line 149
FeatureEnvyDetector	WARN	 BookBorrowingSystem.Library envy BookBorrowingSystem.BookItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		REMAIN
FeatureEnvyDetector	WARN		NUMBER
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\Library.cs Line 189
FeatureEnvyDetector	WARN	 BookBorrowingSystem.Library envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\Library.cs Line 194
FeatureEnvyDetector	WARN	 BookBorrowingSystem.Library envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN		COUNT
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\Library.cs Line 194
FeatureEnvyDetector	WARN	 BookBorrowingSystem.Library envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		QUANTITY
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\Library.cs Line 194
FeatureEnvyDetector	WARN	 BookBorrowingSystem.Library envy BookBorrowingSystem.BookItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		REMAIN
FeatureEnvyDetector	WARN		BOOK
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BackPackFormPresentationModel.cs Line 53
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BackPackFormPresentationModel envy BookBorrowingSystem.BorrowList
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		Remove
FeatureEnvyDetector	WARN		GetBorrowedItem
FeatureEnvyDetector	WARN	Finded Feature Envy
FeatureEnvyDetector	WARN	at C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\BookBorrowingSystem\BackPackFormPresentationModel.cs Line 58
FeatureEnvyDetector	WARN	 BookBorrowingSystem.BackPackFormPresentationModel envy BookBorrowingSystem.BorrowedItem
FeatureEnvyDetector	WARN	use list:
FeatureEnvyDetector	WARN		QUANTITY
FeatureEnvyDetector	WARN		QUANTITY
2022-11-02 05:45:50Z : PB = 374837248 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2022-11-02 05:45:50Z : PB = 374837248 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2022-11-02 05:45:50Z : PB = 374837248 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
